date,open,high,low,close,volume,ticker
2025-04-22,98.78,99.81,97.28,98.89,241004800,NVDA
2025-04-22,93.014999,96.34,91.35,93.99,91185400,PLTR
2025-04-23,376.059998,380.39001,373.019989,374.39001,20545500,MSFT
2025-04-23,104.52,104.8,102.019997,102.71,247526000,NVDA
2025-04-23,98.86,103.76,97.83,100.82,112909500,PLTR
2025-04-24,101.53,108,100.91,107.78,103190700,PLTR
2025-04-24,375.70001,388.45001,375.19,387.29999,22232300,MSFT
2025-04-24,103.48,106.54,103.11,106.43,220815000,NVDA
2025-04-25,108.050003,112.88,106.55,112.78,103933800,PLTR
2025-04-25,387,392.16,384.60001,391.85001,18973200,MSFT
2025-04-25,106.85,111.92,105.73,111.010002,251064700,NVDA
2025-04-28,391.95999,392.73999,386.64001,391.16,16579400,MSFT
2025-04-28,109.69,110.37,106.019997,108.73,207708500,NVDA
2025-04-28,113.78,114.86,108.87,114.65,111082900,PLTR
2025-04-29,391.29999,395.10001,390.38,394.040009,14974000,MSFT
2025-04-29,107.67,110.2,107.44,109.019997,170444300,NVDA
2025-04-29,113.98,117.23,113.24,116.080002,79709000,PLTR
2025-04-30,104.47,108.92,104.080002,108.92,235044600,NVDA
2025-04-30,390.29999,396.66,384.44,395.26001,36461100,MSFT
2025-04-30,111.61,118.78,110.54,118.44,109461700,PLTR
2025-05-01,431.10999,436.98999,424.89999,425.39999,58938100,MSFT
2025-05-01,113.080002,114.94,111.3,111.61,236121500,NVDA
2025-05-01,120.040001,120.19,116,116.2,90677600,PLTR
2025-05-02,114.18,115.4,113.37,114.5,190194800,NVDA
2025-05-02,118.66,124.42,118.63,124.28,103094300,PLTR
2025-05-02,431.73999,439.44,429.98999,435.28,30757400,MSFT
2025-05-05,112.91,114.67,112.66,113.82,133163200,NVDA
2025-05-05,123.7,125.255,121.36,123.77,135961300,PLTR
2025-05-05,432.87,439.5,432.10999,436.17001,20136100,MSFT
2025-05-06,112.71,113.91,105.32,108.86,201193400,PLTR
2025-05-06,432.20001,437.73001,431.17001,433.31,15104200,MSFT
2025-05-06,111.48,114.74,110.82,113.54,158525600,NVDA
2025-05-07,433.84,438.12,431.10999,433.35001,23295300,MSFT
2025-05-07,113.050003,117.68,112.28,117.059998,206758800,NVDA
2025-05-07,107.97,111.85,107,110.48,95428800,PLTR
2025-05-08,437.92999,443.67001,435.66,438.17001,23491300,MSFT
2025-05-08,118.25,118.68,115.85,117.37,198428100,NVDA
2025-05-08,112.28,120.38,112.07,119.15,126966200,PLTR
2025-05-09,440,440.73999,435.88,438.73001,15324200,MSFT
2025-05-09,118.97,119.16,114.9,117.3,81005300,PLTR
2025-05-09,117.35,118.23,115.21,116.65,132972200,NVDA
2025-05-12,121.97,123,120.28,123,225023300,NVDA
2025-05-12,120.78,120.935,115.010002,118.46,94257300,PLTR
2025-05-12,445.94,449.37,439.78,449.26001,22821900,MSFT
2025-05-13,124.98,131.22,124.47,129.92999,330430100,NVDA
2025-05-13,447.78,450.67001,445.35999,449.14001,23618800,MSFT
2025-05-13,119.92,130.60001,119.31,128.10001,147155400,PLTR
2025-05-14,448.14001,453.89999,448.14001,452.94,19902800,MSFT
2025-05-14,129.0099945,133.49001,127.559,130.17999,96611500,PLTR
2025-05-14,133.2,135.44,131.67999,135.34,281180800,NVDA
2025-05-15,128.37,130.2,125.74,128.12,69503000,PLTR
2025-05-15,450.76999,456.19,450.42999,453.13,21992300,MSFT
2025-05-15,134.28999,136.3,132.66,134.83,226632600,NVDA
2025-05-16,129.23,130.33,126.76,129.52,57003700,PLTR
2025-05-16,452.049988,454.35999,448.73001,454.26999,23849800,MSFT
2025-05-16,136.22,136.35001,133.46001,135.39999,226542500,NVDA
2025-05-19,450.88,459.59,450.79999,458.87,21336500,MSFT
2025-05-19,132.39,135.87,132.39,135.57001,193154600,NVDA
2025-05-19,124.715,127.77,124.32,126.33,72503900,PLTR
2025-05-20,134.28999,134.58,132.62,134.38,161514200,NVDA
2025-05-20,455.59,458.34,454.32001,458.17001,15441800,MSFT
2025-05-20,127.22,128.2,124.65,125.59,61265300,PLTR
2025-05-21,454.57001,457.78,451.81,452.57001,19216900,MSFT
2025-05-21,125.16,127.11,119.41,120.58,80657700,PLTR
2025-05-21,133.059998,137.39999,130.59,131.8,270608700,NVDA
2025-05-22,454.95001,460.25,453.89999,454.85999,18025600,MSFT
2025-05-22,121.95,126.33,121.375,122.29,75498300,PLTR
2025-05-22,132.23,134.25,131.55,132.83,187344000,NVDA
2025-05-23,449.98001,453.69,448.91,450.17999,16883500,MSFT
2025-05-23,120.88,125.54,120.68,123.31,65905800,PLTR
2025-05-23,130,132.67999,129.16,131.28999,198821300,NVDA
2025-05-27,126.82,127.88,120.88,123.39,86455200,PLTR
2025-05-27,456.48001,460.95001,456.12,460.69,20974300,MSFT
2025-05-27,134.14999,135.66,133.31,135.5,192953600,NVDA
2025-05-28,461.22,462.51999,456.92999,457.35999,17086300,MSFT
2025-05-28,124.23,125.65,122.91,123.76,64866000,PLTR
2025-05-28,136.029999,137.25,134.78999,134.81,304021100,NVDA
2025-05-29,125.35,126.47,121.53,122.32,63137900,PLTR
2025-05-29,142.25,143.49001,137.91,139.19,369241900,NVDA
2025-05-29,461.54999,461.72,455.31,458.67999,13974800,MSFT
2025-05-30,138.72,139.62,132.92,135.13,333170900,NVDA
2025-05-30,459.72,461.67999,455.54001,460.35999,34770500,MSFT
2025-05-30,123.53,131.94,122.75,131.78,185897600,PLTR
2025-06-02,131.435,134.48,128.86,132.039993,93218700,PLTR
2025-06-02,135.49001,138.12,135.39999,137.38,197663100,NVDA
2025-06-02,457.14001,462.10999,456.89001,461.97,16626500,MSFT
2025-06-03,133.070007,135.28,130.10001,133.17,91297700,PLTR
2025-06-03,461.47,464.14001,460.85999,462.97,15743800,MSFT
2025-06-03,138.78,142,137.95,141.22,225578800,NVDA
2025-06-04,142.19,142.39,139.53999,141.92,167120800,NVDA
2025-06-04,464,465.69,463.019989,463.87,14162700,MSFT
2025-06-04,132.8,132.95,125.58,130.0099945,97306300,PLTR
2025-06-05,464.95999,469.64999,464.029999,467.67999,20131700,MSFT
2025-06-05,129.27,132.85001,118.93,119.91,131055900,PLTR
2025-06-05,142.17,144,138.83,139.99001,231397900,NVDA
2025-06-06,123.73,128.13,121.92,127.72,87175100,PLTR
2025-06-06,142.50999,143.27,141.50999,141.72,153986200,NVDA
2025-06-06,470.089996,473.34,468.78,470.38,15285600,MSFT
2025-06-09,127.074997,132.23,124.8,132.059998,74785600,PLTR
2025-06-09,469.70001,473.42999,468.62,472.75,16469900,MSFT
2025-06-09,143.19,145,141.94,142.63,185114500,NVDA
2025-06-10,471.19,472.79999,466.95999,470.92001,15375900,MSFT
2025-06-10,142.69,144.28999,141.53,143.96001,155881900,NVDA
2025-06-10,131.020004,134.070007,129.41,132.81,69308900,PLTR
2025-06-11,144.61,144.99001,141.87,142.83,167694000,NVDA
2025-06-11,133.92,140,132.99001,136.39,97366000,PLTR
2025-06-11,470.019989,475.47,469.66,472.62,16399200,MSFT
2025-06-12,141.97,145,141.85001,145,162365000,NVDA
2025-06-12,136.39999,137.10001,134.63,135.19,56248200,PLTR
2025-06-12,475.019989,480.42001,473.51999,478.87,18950600,MSFT
2025-06-13,142.48,143.58,140.85001,141.97,180820600,NVDA
2025-06-13,133.815,139.99001,133.35001,137.39999,93519000,PLTR
2025-06-13,476.41,479.17999,472.76001,474.95999,16814500,MSFT
2025-06-16,143.35001,146.17999,143.2,144.69,183133700,NVDA
2025-06-16,140.029999,144.86,139.812,141.41,80779800,PLTR
2025-06-16,475.20999,480.69,475,479.14001,15626100,MSFT
2025-06-17,141.485,141.69,136.080002,138.2,70479100,PLTR
2025-06-17,144.49001,145.22,143.78,144.12,139108000,NVDA
2025-06-17,475.39999,478.73999,474.079987,478.040009,15414100,MSFT
2025-06-18,144.0099945,145.64999,143.12,145.48,161494100,NVDA
2025-06-18,139.039993,140.36,137.49001,139.96001,58260200,PLTR
2025-06-18,478,481,474.45999,480.23999,17526500,MSFT
2025-06-20,145.45,146.2,142.64999,143.85001,242956200,NVDA
2025-06-20,140.69,142.24001,136.742,137.3,87067000,PLTR
2025-06-20,482.23001,483.45999,476.87,477.39999,37576200,MSFT
2025-06-23,142.5,144.78,142.029999,144.17,154308900,NVDA
2025-06-23,138.89999,142.14999,135.96001,139.92,70501100,PLTR
